89%,93%,92%,93%,93%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
79%,82%,79%,81%,81%,83%,83%,84%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,87%,86%,86%,86%,87%,87%,87%,87%,87%,87%
74%,78%,81%,80%,81%,81%,82%,81%,80%,79%,79%,79%,79%,79%,79%,80%,80%,80%,80%,80%,79%,79%,80%,79%,79%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,79%,79%,80%
89%,94%,96%,97%,97%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
91%,95%,96%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
83%,84%,85%,85%,86%,87%,86%,84%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%
92%,95%,97%,97%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
69%,77%,78%,80%,80%,81%,81%,81%,81%,81%,82%,81%,82%,81%,82%,82%,82%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,83%,83%,83%,83%,83%,83%,83%
81%,83%,86%,86%,87%,88%,88%,88%,88%,88%,88%,87%,87%,87%,87%,87%,87%,87%,87%,88%,87%,88%,88%,88%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,87%,87%,87%,87%,87%,87%,87%
81%,89%,88%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,90%,91%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
75%,79%,79%,76%,78%,77%,78%,77%,77%,78%,78%,78%,78%,79%,79%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,77%,77%,77%,77%,77%,77%,77%,77%,78%,78%,78%,78%,78%,77%
91%,95%,97%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
84%,89%,89%,90%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,90%,90%,90%,90%,90%,90%,90%,91%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
90%,94%,96%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
91%,94%,95%,96%,95%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
92%,95%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
79%,89%,91%,91%,90%,90%,90%,90%,90%,91%,92%,92%,92%,92%,92%,92%,91%,92%,92%,92%,92%,92%,92%,91%,91%,91%,91%,91%,92%,92%,91%,91%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,91%,91%
75%,75%,75%,77%,77%,77%,78%,79%,78%,78%,78%,79%,79%,79%,80%,79%,79%,79%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
91%,94%,95%,96%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
91%,95%,97%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
91%,95%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
86%,89%,89%,91%,91%,92%,92%,92%,92%,92%,92%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,91%,92%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
89%,91%,90%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%
86%,91%,91%,92%,92%,92%,92%,92%,93%,93%,93%,92%,92%,92%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,90%,90%,90%,90%,91%,91%,91%,91%,90%,91%,91%,90%,91%,91%,91%,91%,91%,91%,91%
83%,86%,88%,90%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
89%,93%,94%,95%,95%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
89%,91%,91%,91%,91%,92%,92%,92%,93%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
78%,82%,84%,85%,87%,87%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
44%,54%,59%,61%,61%,63%,62%,61%,60%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,60%,61%,61%,61%,60%,61%,61%,61%,61%,61%,61%,61%,61%
93%,96%,97%,97%,98%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,97%,98%,98%,98%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
75%,70%,72%,73%,73%,74%,73%,73%,73%,73%,72%,73%,74%,73%,73%,73%,73%,74%,73%,73%,74%,74%,74%,74%,74%,74%,74%,73%,73%,73%,73%,73%,73%,73%,73%,73%,74%,73%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%
90%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,95%,95%,96%,96%,96%
91%,94%,95%,95%,95%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
77%,80%,81%,81%,81%,82%,83%,82%,82%,81%,81%,80%,80%,80%,80%,79%,79%,79%,79%,80%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%
91%,92%,93%,94%,94%,94%,95%,95%,95%,95%,95%,95%,96%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%
93%,95%,97%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
91%,94%,94%,95%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
82%,90%,92%,94%,94%,94%,95%,95%,95%,95%,96%,96%,96%,96%,97%,97%,97%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
89%,93%,94%,93%,93%,94%,94%,94%,95%,95%,95%,95%,95%,95%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%
90%,94%,96%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
53%,61%,58%,59%,59%,59%,58%,59%,59%,59%,60%,60%,60%,61%,61%,61%,61%,61%,61%,61%,61%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,59%,59%,59%,59%,59%
82%,81%,84%,84%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,85%,85%,86%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%
