76%,82%,85%,87%,88%,89%,89%,90%,91%,91%,92%,92%,92%,93%,93%,93%,93%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%
76%,79%,78%,80%,82%,84%,85%,85%,86%,86%,87%,87%,87%,87%,87%,88%,88%,88%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
74%,80%,84%,85%,87%,86%,87%,88%,89%,89%,89%,89%,90%,90%,90%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%
74%,79%,84%,85%,87%,88%,88%,89%,90%,91%,91%,91%,91%,92%,92%,92%,92%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
64%,69%,71%,75%,77%,78%,80%,81%,82%,82%,83%,83%,84%,84%,84%,84%,85%,85%,85%,85%,85%,86%,86%,86%,87%,86%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%
74%,80%,81%,81%,84%,85%,86%,86%,87%,87%,87%,88%,88%,88%,89%,89%,89%,90%,90%,90%,90%,90%,90%,91%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
61%,58%,63%,64%,66%,67%,68%,69%,70%,71%,72%,72%,72%,72%,73%,74%,74%,74%,74%,73%,73%,74%,74%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,76%,76%,76%,76%,76%,76%,76%,76%,76%,77%,77%,77%,77%,77%
59%,62%,64%,69%,70%,70%,71%,72%,73%,73%,74%,73%,73%,73%,74%,74%,74%,74%,75%,75%,75%,76%,76%,76%,76%,76%,77%,77%,77%,76%,77%,77%,77%,77%,77%,77%,77%,76%,76%,76%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%
86%,88%,89%,89%,89%,89%,90%,90%,91%,91%,91%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%
87%,88%,88%,89%,89%,90%,90%,91%,91%,91%,91%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
71%,78%,81%,84%,86%,87%,88%,89%,90%,91%,91%,92%,92%,93%,93%,93%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
74%,77%,80%,82%,84%,86%,86%,87%,87%,88%,89%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
73%,78%,82%,82%,83%,85%,86%,86%,86%,87%,86%,87%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%
60%,63%,64%,66%,65%,66%,66%,66%,65%,65%,65%,65%,65%,65%,66%,66%,66%,66%,66%,67%,67%,67%,67%,67%,67%,67%,68%,68%,69%,69%,68%,68%,68%,68%,68%,68%,68%,68%,68%,69%,69%,68%,68%,69%,68%,69%,69%,69%,69%,69%
45%,48%,53%,55%,56%,58%,60%,60%,60%,60%,60%,59%,60%,60%,60%,60%,61%,61%,61%,61%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%
68%,74%,77%,78%,81%,82%,83%,85%,86%,86%,86%,87%,87%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%
60%,64%,72%,71%,71%,72%,74%,76%,77%,78%,78%,78%,78%,78%,78%,78%,79%,79%,80%,79%,79%,79%,80%,80%,81%,81%,81%,81%,81%,81%,82%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%
69%,77%,78%,80%,81%,83%,84%,84%,85%,85%,85%,86%,86%,86%,86%,87%,87%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%
53%,65%,69%,70%,70%,72%,73%,75%,76%,77%,78%,79%,78%,79%,80%,80%,80%,81%,81%,81%,81%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%
60%,68%,73%,76%,77%,79%,79%,79%,80%,81%,81%,81%,81%,82%,82%,82%,83%,83%,83%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
38%,43%,46%,46%,50%,50%,49%,52%,54%,54%,54%,55%,56%,56%,56%,57%,57%,57%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,59%,59%,59%,59%,60%,60%,60%,60%,60%,60%,60%,60%,61%,61%,61%,61%,61%,61%,61%,61%
