75%,77%,75%,76%,76%,76%,77%,77%,78%,78%,77%,78%,78%,78%,78%,78%,79%,79%,79%,79%,78%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%
90%,94%,96%,97%,98%,98%,98%,98%,99%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
50%,56%,60%,60%,62%,61%,60%,60%,61%,61%,61%,61%,60%,61%,61%,61%,60%,61%,61%,60%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%
91%,95%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
91%,95%,96%,97%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
92%,94%,96%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
76%,81%,82%,82%,82%,82%,83%,83%,82%,83%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,83%,83%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%
71%,73%,74%,75%,77%,77%,77%,76%,77%,77%,76%,77%,77%,77%,77%,77%,77%,77%,77%,76%,76%,77%,77%,77%,76%,76%,76%,77%,77%,77%,77%,76%,76%,77%,76%,76%,76%,77%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%
91%,95%,97%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
34%,38%,40%,39%,38%,36%,35%,37%,37%,37%,37%,37%,37%,37%,36%,36%,36%,35%,35%,35%,35%,35%,35%,35%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%
85%,87%,89%,89%,89%,88%,88%,89%,89%,88%,88%,89%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%
91%,95%,97%,97%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%
92%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%
83%,84%,85%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%
89%,94%,95%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%
86%,90%,92%,90%,90%,91%,91%,92%,91%,91%,91%,91%,91%,91%,90%,91%,91%,91%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
89%,94%,96%,96%,97%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
70%,71%,71%,71%,71%,70%,70%,72%,73%,73%,74%,74%,74%,74%,75%,75%,75%,75%,75%,75%,76%,75%,76%,76%,76%,76%,76%,76%,76%,76%,76%,77%,77%,77%,77%,77%,77%,78%,78%,78%,78%,78%,78%,78%,77%,77%,77%,77%,77%,77%
52%,55%,53%,54%,51%,52%,52%,53%,54%,56%,56%,56%,56%,57%,58%,58%,58%,58%,58%,58%,59%,59%,59%,59%,59%,59%,59%,59%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%
90%,93%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,95%,96%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%
